Album URL,Album Caption,Img URL,Img caption,DON,Notes
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=73232,"[Concert hall and picture gallery, Hydro Majestic Hotel, Medlow Bath]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796616&size=full&album=1&collection=823311&parent=73232,"Concert Hall, Hydro Majestic Hotel, Medlow Bath
Digital Order Number: a105569",a105569,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796617&size=full&album=1&collection=823311&parent=73232,"Picture Gallery, Hydro Majestic Hotel, Medlow Bath
Digital Order Number: a105570",a105570,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=74458,[Drummoyne?],,,,
,,http://www.acmssearch.sl.nsw.gov.au//search/itemPopLarger.cgi?itemID=74458,[Drummoyne?],a106261,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=72144,"[Government Savings Bank of N.S.W.] Croydon ; Malvern Ave., Croydon ; Western Suburbs Hospital, Croydon",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796277&size=full&album=1&collection=823265&parent=72144,"[Government Savings Bank of N.S.W.] Croydon
Digital Order Number: a105218",a105218,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796278&size=full&album=1&collection=823265&parent=72144,"Malvern Ave., Croydon
Digital Order Number: a105219",a105219,https://goo.gl/maps/trrU2
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796279&size=full&album=1&collection=823265&parent=72144,"Western Suburbs Hospital, Croydon
Digital Order Number: a105220",a105220,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=73518,"[Harbour and streetscenes, Neutral Bay, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796697&size=full&album=1&collection=823331&parent=73518,"Neutral Bay
Digital Order Number: a106071",a106071,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796698&size=full&album=1&collection=823331&parent=73518,"Kurraba, Neutral Bay
Digital Order Number: a106072",a106072,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796699&size=full&album=1&collection=823331&parent=73518,"Kurraba Ferry
Digital Order Number: a106073",a106073,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796700&size=full&album=1&collection=823331&parent=73518,"Kurraba, Neutral Bay
Digital Order Number: a106074",a106074,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796701&size=full&album=1&collection=823331&parent=73518,"The Wharf, Neutral Bay [Hayes St. Wharf]
Digital Order Number: a106075",a106075,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796702&size=full&album=1&collection=823331&parent=73518,"The Wharf, Neutral Bay [Hayes St. Wharf]
Digital Order Number: a106076",a106076,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796703&size=full&album=1&collection=823331&parent=73518,"Sydney Harbour from Neutral Bay
Digital Order Number: a106077",a106077,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796704&size=full&album=1&collection=823331&parent=73518,"""Warialda"", Neutral Bay
Digital Order Number: a106078",a106078,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796705&size=full&album=1&collection=823331&parent=73518,"Nar-Be-Thong, Neutral Bay
Digital Order Number: a106079",a106079,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796706&size=full&album=1&collection=823331&parent=73518,"Nar-Be-Thong, Neutral Bay
Digital Order Number: a106080",a106080,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796707&size=full&album=1&collection=823331&parent=73518,"Military Rd., Neutral Bay
Digital Order Number: a106081",a106081,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796708&size=full&album=1&collection=823331&parent=73518,"St. Peters Church, Neutral Bay
Digital Order Number: a106082",a106082,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=75763,"[Houses and buildings, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=797094&size=full&album=1&collection=823390&parent=75763,"House and garden
Digital Order Number: a106487",a106487,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=797095&size=full&album=1&collection=823390&parent=75763,"""Loyola""
Digital Order Number: a106488",a106488,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=797096&size=full&album=1&collection=823390&parent=75763,"Building
Digital Order Number: a106489",a106489,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=74057,"[National Park, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796812&size=full&album=1&collection=823352&parent=74057,"Rest Cave, National Park, N.S.W.
Digital Order Number: a106190",a106190,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796813&size=full&album=1&collection=823352&parent=74057,"National Park, N.S.W.
Digital Order Number: a106191",a106191,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796814&size=full&album=1&collection=823352&parent=74057,"National Park, N.S.W. [including bridge]
Digital Order Number: a106192",a106192,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796815&size=full&album=1&collection=823352&parent=74057,"National Park, N.S.W. [boating scene]
Digital Order Number: a106193",a106193,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796816&size=full&album=1&collection=823352&parent=74057,"National Park, N.S.W. [boating scene]
Digital Order Number: a106194",a106194,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796817&size=full&album=1&collection=823352&parent=74057,"By Road & River, National Park, N.S.W.
Digital Order Number: a106195",a106195,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796818&size=full&album=1&collection=823352&parent=74057,"A River Reach, National Park
Digital Order Number: a106196",a106196,
